season,startYear,firstGameDate,lastGameDate,allGames,homeWins,awayWins,homeWinPct,avgHomeMargin,homeRestedGames,homeRestedWins,homeRestedLosses,homeRestedWinPct,homeRestedAvgHomeMargin,homeRestedLiftVsSeasonBaselinePp
1985-86,1985,1985-10-25,1986-04-13,943,617,326,65.42948,4.539767,575,374,201,65.043478,4.664348,-0.386002
1986-87,1986,1986-10-31,1987-04-19,943,627,316,66.489926,5.168611,579,378,201,65.284974,5.233161,-1.204952
1987-88,1987,1987-11-06,1988-04-24,943,640,303,67.868505,5.83351,549,373,176,67.941712,6.238616,0.073207
1988-89,1988,1988-11-04,1989-04-23,1025,695,330,67.804878,5.604878,596,410,186,68.791946,5.812081,0.987068
1989-90,1989,1989-11-03,1990-04-22,1107,713,394,64.408311,5.017164,639,421,218,65.884194,5.726135,1.475883
1990-91,1990,1990-11-02,1991-04-21,1107,730,377,65.943993,4.728094,675,440,235,65.185185,4.543704,-0.758808
1991-92,1991,1991-11-01,1992-04-19,1107,699,408,63.143631,4.462511,661,430,231,65.05295,5.19062,1.909319
1992-93,1992,1992-11-06,1993-04-25,1107,676,431,61.065944,4.02439,648,405,243,62.5,4.972222,1.434056
1993-94,1993,1993-11-05,1994-04-24,1107,677,430,61.156278,4.017164,649,395,254,60.862866,3.885978,-0.293412
1994-95,1994,1994-11-04,1995-04-23,1107,661,446,59.71093,3.172538,671,405,266,60.357675,3.472429,0.646745
1995-96,1995,1995-11-03,1996-04-21,1189,718,471,60.38688,3.227082,709,438,271,61.777151,3.524683,1.390271
1996-97,1996,1996-11-01,1997-04-20,1189,684,505,57.527334,2.57275,720,438,282,60.833333,3.616667,3.305999
1997-98,1997,1997-10-31,1998-04-19,1189,708,481,59.545837,2.946173,723,430,293,59.474412,3.304288,-0.071425
1998-99,1998,1999-02-05,1999-05-05,725,452,273,62.344828,3.434483,382,242,140,63.350785,3.71466,1.005958
1999-00,1999,1999-11-02,2000-04-19,1189,726,463,61.059714,3.53995,740,466,274,62.972973,4.217568,1.913259
2000-01,2000,2000-10-31,2001-04-18,1189,711,478,59.79815,2.915896,717,446,271,62.203626,3.517434,2.405477
2001-02,2001,2001-10-30,2002-04-17,1189,703,486,59.125315,3.398654,705,421,284,59.716312,3.306383,0.590997
2002-03,2002,2002-10-29,2003-04-16,1189,747,442,62.825904,3.883936,713,449,264,62.973352,3.969144,0.147448
2003-04,2003,2003-10-28,2004-04-14,1189,730,459,61.396131,3.598823,692,433,259,62.572254,3.84104,1.176123
2004-05,2004,2004-11-02,2005-04-20,1230,744,486,60.487805,3.126016,735,439,296,59.727891,3.012245,-0.759914
2005-06,2005,2005-11-01,2006-04-19,1230,742,488,60.325203,3.368293,749,471,278,62.883845,3.857143,2.558642
2006-07,2006,2006-10-31,2007-04-18,1230,727,503,59.105691,2.986179,731,449,282,61.422709,3.76197,2.317018
2007-08,2007,2007-10-30,2008-04-16,1230,739,491,60.081301,3.405691,745,446,299,59.865772,3.70604,-0.215529
2008-09,2008,2008-10-28,2009-04-15,1230,748,482,60.813008,3.25122,734,456,278,62.125341,3.681199,1.312332
2009-10,2009,2009-10-27,2010-04-14,1230,731,499,59.430894,2.731707,741,453,288,61.133603,3.411606,1.702709
2010-11,2010,2010-10-26,2011-04-13,1230,743,487,60.406504,3.16748,735,445,290,60.544218,3.214966,0.137714
2011-12,2011,2011-12-25,2012-04-26,990,580,410,58.585859,2.820202,548,328,220,59.854015,3.129562,1.268156
2012-13,2012,2012-10-30,2013-04-17,1229,752,477,61.187958,3.2262,775,494,281,63.741935,4.172903,2.553978
2013-14,2013,2013-10-29,2014-04-16,1230,714,516,58.04878,2.596748,729,428,301,58.710562,3.113855,0.661782
2014-15,2014,2014-10-28,2015-04-15,1230,707,523,57.479675,2.407317,729,428,301,58.710562,3.175583,1.230888
2015-16,2015,2015-10-27,2016-04-13,1230,724,506,58.861789,2.674797,712,413,299,58.005618,2.557584,-0.856171
2016-17,2016,2016-10-25,2017-04-12,1230,718,512,58.373984,3.14878,701,414,287,59.058488,3.450785,0.684504
2017-18,2017,2017-10-17,2018-04-11,1230,712,518,57.886179,2.105691,688,411,277,59.738372,2.760174,1.852193
2018-19,2018,2018-10-16,2019-04-10,1230,729,501,59.268293,2.72439,656,402,254,61.280488,3.253049,2.012195
2019-20,2019,2019-10-22,2020-03-11,971,535,436,55.097837,2.174047,521,294,227,56.429942,2.621881,1.332105
2020-21,2020,2020-12-22,2021-05-16,1080,587,493,54.351852,0.943519,567,323,244,56.96649,2.005291,2.614638
2021-22,2021,2021-10-19,2022-04-10,1230,669,561,54.390244,1.722764,672,388,284,57.738095,2.633929,3.347851
2022-23,2022,2022-10-18,2023-04-09,1230,714,516,58.04878,2.5,681,414,267,60.792952,3.230543,2.744171
2023-24,2023,2023-10-24,2024-04-14,1230,668,562,54.308943,2.146341,664,377,287,56.777108,2.879518,2.468165
2024-25,2024,2024-10-22,2025-04-13,1230,669,561,54.390244,1.63252,639,360,279,56.338028,2.273865,1.947784
2025-26,2025,2025-10-21,2026-04-12,1230,682,548,55.447154,1.737398,605,334,271,55.206612,1.91405,-0.240543
