season,model,n_val,n_train,train_span,log_loss,brier,accuracy,expected_efg,actual_efg
1997-98,baseline,189288,188378,1996-97..1996-97,0.667845,0.237501,0.617192,0.474002,0.478570
1997-98,logit,189288,188378,1996-97..1996-97,0.672164,0.239600,0.608538,0.477551,0.478570
1997-98,gbm,189288,188378,1996-97..1996-97,0.667621,0.237374,0.613240,0.474570,0.478570
1998-99,baseline,113209,377666,1996-97..1997-98,0.662753,0.235009,0.621452,0.472730,0.466089
1998-99,logit,113209,377666,1996-97..1997-98,0.668003,0.237563,0.613653,0.474520,0.466089
1998-99,gbm,113209,377666,1996-97..1997-98,0.657306,0.232425,0.629641,0.471704,0.466089
1999-00,baseline,194973,490875,1996-97..1998-99,0.665660,0.236412,0.616198,0.468984,0.478707
1999-00,logit,194973,490875,1996-97..1998-99,0.671521,0.239270,0.605981,0.470156,0.478707
1999-00,gbm,194973,490875,1996-97..1998-99,0.660653,0.234060,0.622322,0.468344,0.478707
2000-01,baseline,191355,685848,1996-97..1999-00,0.665442,0.236314,0.615547,0.471341,0.473479
2000-01,logit,191355,685848,1996-97..1999-00,0.670582,0.238812,0.607483,0.471084,0.473479
2000-01,gbm,191355,685848,1996-97..1999-00,0.659089,0.233322,0.624651,0.469520,0.473479
2001-02,baseline,192922,877203,1996-97..2000-01,0.667412,0.237278,0.611143,0.475142,0.477797
2001-02,logit,192922,877203,1996-97..2000-01,0.671397,0.239221,0.602497,0.474482,0.477797
2001-02,gbm,192922,877203,1996-97..2000-01,0.663054,0.235269,0.615948,0.476181,0.477797
2002-03,baseline,191759,1070125,1996-97..2001-02,0.666820,0.236989,0.612493,0.475896,0.474700
2002-03,logit,191759,1070125,1996-97..2001-02,0.670156,0.238617,0.605051,0.474766,0.474700
2002-03,gbm,191759,1070125,1996-97..2001-02,0.662930,0.235174,0.616613,0.476511,0.474700
2003-04,baseline,189459,1261884,1996-97..2002-03,0.666524,0.236853,0.611948,0.478685,0.471883
2003-04,logit,189459,1261884,1996-97..2002-03,0.670052,0.238568,0.605382,0.476775,0.471883
2003-04,gbm,189459,1261884,1996-97..2002-03,0.662243,0.234869,0.616856,0.479203,0.471883
